site,product,date,year,month,n_images,mean_cloud_pct
Tuz Lake,S1_GRD,2024-08,2024,8,15,
Tuz Lake,S1_GRD,2024-09,2024,9,15,
Tuz Lake,S1_GRD,2024-10,2024,10,15,
Tuz Lake,S1_GRD,2024-11,2024,11,15,
Tuz Lake,S1_GRD,2024-12,2024,12,16,
Tuz Lake,S1_GRD,2025-01,2025,1,17,
Tuz Lake,S1_GRD,2025-02,2025,2,12,
Tuz Lake,S1_GRD,2025-03,2025,3,18,
Tuz Lake,S1_GRD,2025-04,2025,4,23,
Tuz Lake,S1_GRD,2025-05,2025,5,30,
Tuz Lake,S1_GRD,2025-06,2025,6,27,
Tuz Lake,S1_GRD,2025-07,2025,7,28,
Tuz Lake,S1_GRD,2025-08,2025,8,26,
Tuz Lake,S1_GRD,2025-09,2025,9,29,
Tuz Lake,S1_GRD,2025-10,2025,10,28,
Tuz Lake,S1_GRD,2025-11,2025,11,27,
Tuz Lake,S1_GRD,2025-12,2025,12,27,
Tuz Lake,S1_GRD,2026-01,2026,1,28,
Tuz Lake,S1_GRD,2026-02,2026,2,25,
Tuz Lake,S1_GRD,2026-03,2026,3,28,
Tuz Lake,S1_GRD,2026-04,2026,4,31,
Tuz Lake,S1_GRD,2026-05,2026,5,40,
Kizilirmak Delta,DSWX_HLS,2023-04,2023,4,52,49.46153846153846
Kizilirmak Delta,DSWX_HLS,2023-05,2023,5,48,57.270833333333336
Kizilirmak Delta,DSWX_HLS,2023-06,2023,6,53,54.77358490566038
Kizilirmak Delta,DSWX_HLS,2023-07,2023,7,68,30.044117647058822
Kizilirmak Delta,DSWX_HLS,2023-08,2023,8,56,32.285714285714285
Kizilirmak Delta,DSWX_HLS,2023-09,2023,9,59,48.23728813559322
Kizilirmak Delta,DSWX_HLS,2023-10,2023,10,48,46.854166666666664
Kizilirmak Delta,DSWX_HLS,2023-11,2023,11,44,53.56818181818182
Kizilirmak Delta,DSWX_HLS,2023-12,2023,12,52,76.17307692307692
Kizilirmak Delta,DSWX_HLS,2024-01,2024,1,46,62.23913043478261
Kizilirmak Delta,DSWX_HLS,2024-02,2024,2,50,64.74
Kizilirmak Delta,DSWX_HLS,2024-03,2024,3,56,48.767857142857146
Kizilirmak Delta,DSWX_HLS,2024-04,2024,4,50,69.5
Kizilirmak Delta,DSWX_HLS,2024-05,2024,5,57,36.01754385964912
Kizilirmak Delta,DSWX_HLS,2024-06,2024,6,65,35.01538461538462
Kizilirmak Delta,DSWX_HLS,2024-07,2024,7,64,52.09375
Kizilirmak Delta,DSWX_HLS,2024-08,2024,8,54,32.44444444444444
Kizilirmak Delta,DSWX_HLS,2024-09,2024,9,56,34.982142857142854
Kizilirmak Delta,DSWX_HLS,2024-10,2024,10,54,48.611111111111114
Kizilirmak Delta,DSWX_HLS,2024-11,2024,11,53,58.264150943396224
Kizilirmak Delta,DSWX_HLS,2024-12,2024,12,46,59.0
